Grid_ID,Latitude,Longitude,Area_Name,Neighbourhood,Suburb,Town,City,City_District,County,State_District,Postcode,Display_Name
8401_1449,13.021020481494787,77.4505814838062,Machohalli,,,,,,Bangalore North,Bengaluru Urban,560091,"Vaddarahalli, Machohalli, Bangalore North, Bengaluru Urban, Karnataka, 560091, India"
8401_1450,13.0300035932447,77.4505814838062,Machohalli,,,,,,Bangalore North,Bengaluru Urban,560091,"Vaddarahalli, Machohalli, Bangalore North, Bengaluru Urban, Karnataka, 560091, India"
8401_1451,13.03898670499461,77.4505814838062,Lakshmipura,,,,,,Bangalore North,Bengaluru Urban,562162,"Lakshmipura, Bangalore North, Bengaluru Urban, Karnataka, 562162, India"
8401_1452,13.04796981674452,77.4505814838062,Harokyatanahalli,,,,,,Bangalore North,Bengaluru Urban,562162,"Harokyatanahalli, Bangalore North, Bengaluru Urban, Karnataka, 562162, India"
8401_1453,13.05695292849443,77.4505814838062,Harokyatanahalli,,,,,,Bangalore North,Bengaluru Urban,562162,"Harokyatanahalli, Bangalore North, Bengaluru Urban, Karnataka, 562162, India"
8401_1454,13.06593604024434,77.4505814838062,Heggadadevanapura,,,,,,Bangalore North,Bengaluru Urban,562162,"Heggadadevanapura, Bangalore North, Bengaluru Urban, Karnataka, 562162, India"
8401_1455,13.074919151994251,77.4505814838062,Heggadadevanapura,,,,,,Bangalore North,Bengaluru Urban,562162,"Heggadadevanapura, Bangalore North, Bengaluru Urban, Karnataka, 562162, India"
8401_1456,13.08390226374416,77.4505814838062,Mattahalli,,,,,,Bangalore North,Bengaluru Urban,562123,"Vaderahalli, Mattahalli, Bangalore North, Bengaluru Urban, Karnataka, 562123, India"
8401_1457,13.09288537549407,77.4505814838062,Mattahalli,,,,,,Bangalore North,Bengaluru Urban,562123,"Vaderahalli, Mattahalli, Bangalore North, Bengaluru Urban, Karnataka, 562123, India"
8401_1458,13.101868487243982,77.4505814838062,Mattahalli,,,,,,Bangalore North,Bengaluru Urban,562123,"Vaderahalli, Mattahalli, Bangalore North, Bengaluru Urban, Karnataka, 562123, India"
8401_1459,13.110851598993891,77.4505814838062,Mattahalli,,,,,,Bangalore North,Bengaluru Urban,562123,"Vaderahalli, Mattahalli, Bangalore North, Bengaluru Urban, Karnataka, 562123, India"
8401_1460,13.119834710743802,77.4505814838062,Honnasandra,,,,,,Bangalore North,Bengaluru Urban,562123,"Honnasandra, Bangalore North, Bengaluru Urban, Karnataka, 562123, India"
8401_1461,13.128817822493712,77.4505814838062,ತೋಟಗೆರೆ,,,,,,Bangalore North,Bengaluru Urban,562123,"ತೋಟಗೆರೆ, Bangalore North, Bengaluru Urban, Karnataka, 562123, India"
8401_1462,13.13780093424362,77.4505814838062,ತೋಟಗೆರೆ,,,,,,Bangalore North,Bengaluru Urban,562123,"ತೋಟಗೆರೆ, Bangalore North, Bengaluru Urban, Karnataka, 562123, India"
8401_1463,13.146784045993533,77.4505814838062,ತೋಟಗೆರೆ,,,,,,Bangalore North,Bengaluru Urban,562123,"ತೋಟಗೆರೆ, Bangalore North, Bengaluru Urban, Karnataka, 562123, India"
8402_1424,12.796442687747035,77.45980014493621,Kadirenahalli,,,,,,Ramanagara taluk,Bengaluru South,562109,"Kadirenahalli, Ramanagara taluk, Bengaluru South, Karnataka, 562109, India"
8402_1425,12.805425799496946,77.45980014493621,Kadirenahalli,,,,,,Ramanagara taluk,Bengaluru South,562109,"Kadirenahalli, Ramanagara taluk, Bengaluru South, Karnataka, 562109, India"
8402_1426,12.814408911246856,77.45980014493621,Chinna Kuruchi,,,,,Chinna Kuruchi,Bangalore South,Bengaluru Urban,560082,"Chinna Kuruchi, Bangalore South, Bengaluru Urban, Karnataka, 560082, India"
8402_1427,12.823392022996766,77.45980014493621,Chinna Kuruchi,,,,,Chinna Kuruchi,Bangalore South,Bengaluru Urban,560082,"Chinna Kuruchi, Bangalore South, Bengaluru Urban, Karnataka, 560082, India"
8402_1428,12.832375134746677,77.45980014493621,Vasanthanahalli,,,,,Vasanthanahalli,Bangalore South,Bengaluru Urban,,"Vasanthanahalli, Bangalore South, Bengaluru Urban, Karnataka, India"
8402_1429,12.841358246496586,77.45980014493621,Vasanthanahalli,,,,,Vasanthanahalli,Bangalore South,Bengaluru Urban,,"Vasanthanahalli, Bangalore South, Bengaluru Urban, Karnataka, India"
8402_1430,12.850341358246496,77.45980014493621,Devagere,,,,,,Bangalore South,Bengaluru Urban,560060,"Devagere, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
