Cluster_ID,Dominant_Locality,Localities,Center_Latitude,Center_Longitude,Total_Cells,Cluster_Area_km2,High_Cells,Very_High_Cells,Mean_Median_LST,Maximum_LST,Mean_Heat_Score,Maximum_Heat_Score,Mean_Hot_Frequency,Mean_Tree_Probability,Mean_Built_Probability,Average_Greening_Percent,Total_Trees_To_Plant,Tree_Canopy_Target_m2,Non_Tree_Cooling_Area_m2,Strong_Cells,Moderate_Reliability_Cells,Limited_Cells,Model_Only_Cells,Dominant_Planning_Reliability,Mean_Hot_Frequency_Percent,Mean_Tree_Probability_Percent,Mean_Built_Probability_Percent,Cluster_Rank_Score,Cluster_Rank
30,Sampangirama Nagar,"Sampangirama Nagar, Vasanth Nagar, Rajamahal, S.K Garden",12.99407114624506,77.5888614007564,4,4,4,0,40.01329216287502,43.18844902430001,53.41172467908072,54.81253860104614,0.31666666666666665,0.049396953138057094,0.6253694042097777,11.148530226918929,6874,206136.6830022922,239804.526074465,0,4,0,0,Moderate,31.666666666666664,4.93969531380571,62.53694042097777,44.071744089181195,56
50,Gollahalli,Gollahalli,13.08390226374416,77.67182935092652,1,1,1,0,36.05705791609999,44.12596063999997,52.30471500361183,52.30471500361183,0.3333333333333333,0.028532207943499,0.7040454657981172,11.280807033479096,1317,39482.82461717683,73325.24571761413,0,1,0,0,Moderate,33.33333333333333,2.8532207943499,70.40454657981172,43.27996716919495,57
28,Bannerughatta,Bannerughatta,12.823392022996766,77.57964273962638,1,1,1,0,38.61933388385002,44.61292594940006,50.49292980041628,50.49292980041628,0.375,0.0908465781249105,0.4442099920706823,10.731885538885102,2505,75123.19877219571,32195.65661665531,1,0,0,0,Strong,37.5,9.08465781249105,44.42099920706823,42.845050860291394,58
44,Hosapalya,"Hosapalya, Agara",12.899748472871003,77.64417336753648,2,2,2,0,35.817185545025026,44.49891789230001,51.00914752574879,51.525318513103926,0.3333333333333333,0.029073645826429,0.6951628873066511,11.237009359969157,3182,95439.86478263173,129300.3224167514,0,2,0,0,Moderate,33.33333333333333,2.9073645826429,69.51628873066511,42.5021126815296,59
58,Yarappanahalli,Yarappanahalli,13.09288537549407,77.69026667318654,1,1,1,0,39.423072741800034,44.11040864900002,51.08977026759709,51.08977026759709,0.3333333333333333,0.0484206809196621,0.2347965575754642,10.567702225994973,2995,89825.46892095725,15851.553338992468,0,1,0,0,Moderate,33.33333333333333,4.84206809196621,23.479655757546418,42.42950585398463,60
52,Electronics City Phase 2 (East),"Electronics City Phase 2 (East), Chikkanagamangala",12.854832914121452,77.68565734262154,2,2,2,0,36.59459283140002,46.66638691490007,51.542052302632,52.12799146212595,0.30952380952380953,0.0296729794456864,0.6109836200358414,11.134086485259653,3712,111340.86485259653,111340.86485259653,0,1,1,0,Limited,30.952380952380953,2.96729794456864,61.09836200358414,42.41639759219208,61
68,Kommasandra,Kommasandra,12.859324469996409,77.7317506482716,2,2,2,0,37.86871105670003,46.65968759570007,51.44653875035986,51.94576701568832,0.30952380952380953,0.06454286455928065,0.42139305432208524,10.78866841572641,4839,145150.43960881606,70622.92870571214,0,1,1,0,Limited,30.952380952380953,6.454286455928066,42.13930543220852,42.32786038206021,62
7,Andrahalli,"Andrahalli, Gangodanahalli",13.032997963828004,77.48438324128291,3,3,3,0,35.97659202860003,44.49385922270003,50.60805018913118,52.09341123314146,0.3238095238095238,0.033472082432962826,0.7082396311744366,11.234375749930246,4490,134647.9705266225,202383.30197128485,0,1,2,0,Limited,32.38095238095238,3.3472082432962824,70.82396311744365,42.27316586958487,63
54,Halanayakanahalli,Halanayakanahalli,12.895256916996049,77.68104801205654,1,1,1,0,34.67793811640001,45.51765875330002,50.44132659447394,50.44132659447394,0.3333333333333333,0.0358173644635826,0.6950973349157721,11.206849507764524,1868,56034.24753882262,56034.24753882262,0,1,0,0,Moderate,33.33333333333333,3.58173644635826,69.50973349157721,41.97559528279842,64
24,HMT Ward,"HMT Ward, Doddabommasandra",13.04796981674452,77.55505964327968,3,3,3,0,36.942285219200016,43.9337141051,51.21210615953459,52.83003473297521,0.26111111111111107,0.03986361516096313,0.7157521117478609,11.242872797157375,3937,118050.1643701524,219236.0195445688,0,3,0,0,Moderate,26.111111111111107,3.986361516096313,71.57521117478609,41.47517867725659,65
